GUID	Key	Value	OriginalValue	Info for translators	Do Not Translate	Localization State
1197879394585725244	General_NewGame	New Game	New Game		False	Localized, SentToLocalization
7538134428319349406	General_Continue	Continue	Continue		False	Localized, SentToLocalization
6716889764510134367	General_Settings	Settings	Settings		False	Localized, SentToLocalization
4280782925431556764	General_Credits	Credits	Credits		False	Localized, SentToLocalization
6421780824154089287	General_ModEditor	Mods	Modding Tools	A button on the main menu. When clicked, opens a UI that let's the player see and manage mods.	False	Localized, SentToLocalization
500821702909012326	General_QuitToMainMenu	Quit to Main Menu	Quit	In the pause menu, the player can click this button to go back to the main menu.	False	Localized
7611292449325071346	General_LoadGame	Load Game	Load Game		False	Localized, SentToLocalization
8835862615723634589	General_QuitToDesktop	Exit Game	Quit to Desktop	In the pause menu, the player can click this button to close and exit the game completely.	False	Localized
8133484714804793039	General_Save	Save	Save		False	Localized, SentToLocalization
8866047337745145821	General_Resume	Resume	Resume		False	Localized, SentToLocalization
5536360744548902452	DayOfWeek_0	Monday	Monday		False	Localized, SentToLocalization
9054488928998048776	DayOfWeek_1	Tuesday	Tuesday		False	Localized, SentToLocalization
3164052454657311860	DayOfWeek_2	Wednesday	Wednesday		False	Localized, SentToLocalization
6808425143716030909	DayOfWeek_3	Thursday	Thursday		False	Localized, SentToLocalization
6659670047693817724	DayOfWeek_4	Friday	Friday		False	Localized, SentToLocalization
6527743796458886191	DayOfWeek_5	Saturday	Saturday		False	Localized, SentToLocalization
4818978123935139774	DayOfWeek_6	Sunday	Sunday		False	Localized, SentToLocalization
3269511432343225086	UIEquipment_TooltipColor	Change color(s)	Change color(s)		False	Localized, SentToLocalization
2407124804962111858	UIEquipment_TooltipVariant	Select item variant	Select item variant		False	Localized, SentToLocalization
3117036508697710428	UIEquipment_TooltipLayers	Select secondary item	Select secondary item		False	Localized, SentToLocalization
8630915350800639711	UIEquipment_TooltipDecals	Edit placement	Edit tattoo	 A button that, when clicked, opens a menu that lets you edit the position of a tattoo, mole, etc on the body of the character.	False	Localized
2084633008883787595	UIEquipment_TooltipAlternateZOrder	Toggle between tucked in/out	Toggle between tucked in/out		False	Localized, SentToLocalization
7465200878502760493	UIEquipment_TooltipAlternateZOrderDisabled	You cannot toggle between tucked in/out with your current item(s)	You cannot toggle between tucked in/out with your current items		False	Localized, SentToLocalization
6414959209094641863	UICharacterCreator_RandomizeInSection	Put on one of the below items at random	Put on one of the below items at random		False	Localized, SentToLocalization
4754839796375160	UIGameBar_LikeMusicTrack	Currently Playing\n{0}\n\nClick to send a like to Slack in the #music-feedback channel.	Currently playing\n{0}\n\nClick to send a like to Slack in the #music-feedback channel		False	Localized, SentToLocalization
2050761688307350060	UIGameBar_SkipMusicTrack	Skip Track	Skip Track		False	Localized, SentToLocalization
8135446791387865442	UIGameBar_OpenLogs	Open logs	Open logs		True	None
8821949475950675878	UIGameBar_OpenBugReport	Send feedback or a bug report (opens in a new window)	Send feedback or a bug report (opens in a new window)		False	Localized, SentToLocalization
867613347718512150	UIGameBar_Money	Your household balance in paradimes. Use paradimes to purchase new furniture and goods.	Your household's Paradimes balance. Use Paradimes to purchase new furniture and goods.		False	Localized, SentToLocalization
6372040144492480248	UIGameBar_MoveDownOneFloor	Move Down One Floor (/{FloorDown})	Move down one floor (/{FloorDown})		False	Localized, SentToLocalization
87810863725514530	UIGameBar_MoveUpOneFloor	Move Up One Floor (/{FloorUp})	Move up one floor (/{FloorUp})		False	Localized, SentToLocalization
7778096343545003428	UIGameBar_SaveCharacterAsPremade	Save Para to the Library	Save Para as premade character	 A button in the character editor that let's you save a character in the "library" so that you can reuse them later or in a different save file.	False	New, ChangedOnProofreadingImport, Localized
2808639872566143836	UIGameBar_OpenGenetics	Play with genetics	Play with genetics		True	None
1904367185066654146	UIGameBar_ToggleWallVisibility	Toggle Wall Visibility (/{MoveWallVisibilityStateForwards})	Toggle wall visibility (/{MoveWallVisibilityStateForwards})		False	Localized, SentToLocalization
808792164783953117	UIGameBar_PhotoMode	Photo Mode (/{PhotoMode})	Photo mode (/{PhotoMode})		False	Localized, SentToLocalization
2074926215583023353	Command_PLAY	Play a specified animation on the selected character	Play a specified animation on the selected character		True	None
3802268440927189024	Command_ASSETCOUNT	List the asset count for each asset types	List the asset count for each asset types		True	None
8559928483626336881	Command_ASSETCOUNTBYSIZE	List the asset count for each asset types ordered by file size	List the asset count for each asset types ordered by file size		True	None
8755278005324133726	Command_ASSETSBYSIZE	List all assets ordered by file size	List all assets ordered by file size		True	None
4881743036199028566	Command_UNITYOBJECTCOUNT	List all objects of each type currently loaded	List all objects of each type currently loaded		True	None
1721837418988713774	Command_TESTALLDEFORMATIONS	Runs check through all deformations and return the problematic ones	Runs check through all deformations and return the problematic ones		True	None
9089807247907315927	Command_PLAYAUDIO	Plays the specified audio clip	Plays the specified audio clip		True	None
2838819016994134519	Command_CREATECHARACTER	Create a character. You must spcify a GUID or a DisplayName	Create a character. You must spcify a GUID or a DisplayName		True	None
722140949080949388	Command_CREATECHARACTERS	Create multiple characters, seperated by spaces. You must spcify a GUID or a DisplayName	Create multiple characters, seperated by spaces. You must spcify a GUID or a DisplayName		True	None
3616854036789889110	Command_GETEQUIPMENT	Lists all the pieces of equipment equiped on a selected character	Lists all the pieces of equipment equiped on a selected character		True	None
7026283733737546533	Command_LISTAUTOEQUIP	Lists all auto equip rules of all equipments	Lists all auto equip rules of all equipments		True	None
3115229342596397942	Command_TESTCHARACTERSKIN	Creates a small graph showing the results of all skin autoequip rules depending on the muscle & fat slider. Texture is exported to debug directory	Creates a small graph showing the results of all skin autoequip rules depending on the muscle & fat slider. Texture is exported to debug directory		True	None
